そして25日夜から微熱が4日間続いた。	そして25日の夜から微熱が4日続きました。
食欲不振であった。	食欲もなかったです。
昼間は嘔気があり、横になっていたが、夫からのLINEが頻繁に来る。	昼間は気持ち悪かったりで横になってましたが、旦那からのLINEが恐ろしいほどくる〜。
発熱は夜が多いので、まだ油断はできない。	たいがい熱が出るのは夜が多いから、まだ油断はできないですね。
加えて困るのは、四肢のしびれ感の悪化である。	あと困るのは手足の痺れの悪化。
足にしびれ感がある。	足は歩きにくい。
手のしびれ感があり、薬の錠剤を取り出すのに不自由する。	手は指先が痺れてるので、お薬を飲むのに錠剤をプチっとするのがなかなか出来ない。
X線異常があるが、改善してきた。	X線の影の少なくなってきている。
味覚障害時でも、おいしく食べることができたみかん。	味覚障害時でも、美味しく食べれたみかん。
顔面浮腫は昨日よりさらに悪化している。	顔のむくみは、昨日よりさらに酷くなっています。
眠気も強い。	睡魔も強いです。
朝食後に薬を服用し、間もなく眠気に襲われて熟睡した。	朝食後、クスリを服用し間もなくしていつのまにやら、例の如く睡魔に襲われて爆睡。
体調不良ではあるが、歩行は問題ない。	体調はよろしくないが、歩行はOKである。
体調不良は、顔面浮腫と酔っ払った感覚が強くなっているためだろう。	体調悪いのは、顔面のむくみと酔っ払った感覚が強くなっているからだと思われる。
朝、37.5度の微熱が出た。	朝３７．５°の熱が出た。
オンコロと連絡を取りながら昼まで様子を見たが、発熱が38度になったため、病院へ行った。	オンコロと連絡を取りながら、お昼まで様子を見たけど３８°になったので病院へ。
白血球減少症を疑ったが、血液検査の結果は異常なし。	てっきり白血球のせいかと思ったけど、血液検査の結果どこにも異常なし。
爪囲炎は菌が原因だったのだろうか。	あの爪の横のクチャクチャプクプクは菌の仕業だったというのでしょうか。
麦門冬湯とコデインを服用していたが、咳嗽がひどく、一日中マスクをして気化式の加湿器や洗濯物で室内の湿度を保つようにした。	麦門冬湯とコデインを服用していたが咳が酷く、一日中マスクをして気化式の加湿器や洗濯物で室内の湿度も保つようにした。
